time,entry_name,entry_user,current_points,maximum,r8,r16,r32,r64,rank,percentile
2024-04-03 11:00:00,Rebounds over Rework,ESPNFAN1522828408,980,1620,240,240,260,240,1,99.9
2024-04-03 11:00:00,Overshoot don't Collapse,ESPNFAN0275865701,860,1500,160,160,300,240,2,99.5
2024-04-03 11:00:00,Dan's Picks,ESPNFAN3409828595,790,1430,160,160,240,230,3,97.1
2024-04-03 11:00:00,¯\_(ツ)_/¯,JoshKep,740,1380,160,120,200,260,4,91
2024-04-03 11:00:00,Erin B.,ebreezy06,730,1370,160,160,180,230,5,89.1
2024-04-03 11:00:00,Brennan's Picks,brennan_oc43,720,1360,160,80,260,220,6,84.3
2024-04-03 11:00:00,Not the right outliers,Essigcandy,710,870,160,80,240,230,7,82.5
2024-04-03 11:00:00,Connecticut=Championships,espnfan28366074,690,1170,80,120,280,210,8,78.3
2024-04-03 11:00:00,Kula Than Your Bracket,espnfan1467754849,680,680,160,120,180,220,9,76.2
2024-04-03 11:00:00,Rick's Picks,ESPNFAN9352171647,680,1160,80,160,240,200,9,76.2
2024-04-03 11:00:00,EEQESKL greater than 1,erinevoss,670,1150,80,120,220,250,11,73.6
2024-04-03 11:00:00,ESPNFAN8630827724's Picks 1,ESPNFAN8630827724,660,660,80,160,200,220,12,71.2
2024-04-03 11:00:00,Rain dance,BDDJMerritt15,650,1130,80,120,220,230,13,68.7
2024-04-03 11:00:00,Donna's pick #1,ESPNFAN5573415521,640,1120,160,80,200,200,14,66.1
2024-04-03 11:00:00,Rio's puppy madness,RW15371501,630,630,0,200,180,250,15,63.5
2024-04-03 11:00:00,ESPNFAN4288357771's Picks 1,ESPNFAN4288357771,620,780,80,120,200,220,16,60.8
2024-04-03 11:00:00,The Algorithm,espnfan7035969934,610,770,80,160,160,210,17,58.2
2024-04-03 11:00:00,a truly STELLAr bracket,czoldak,570,1050,80,120,160,210,18,47.5
2024-04-03 11:00:00,Stella MM Output v38,espnfan39396853,560,720,80,80,180,220,19,44.9
2024-04-03 11:00:00,Will’s Bracket,w11k1,460,460,0,80,160,220,20,24
2024-04-03 11:00:00,ESPNFAN7873704290's Picks 1,ESPNFAN7873704290,420,420,0,80,140,200,21,18.6
2024-04-03 11:00:00,The Anilyst's Picks,The Anilyst,400,400,0,80,160,160,22,16.5
2024-04-03 11:00:00,Guided Coin Toss,01100001 01111010,380,380,0,40,160,180,23,14.7
2024-04-03 11:00:00,NGB (next gen bracket),ESPNFAN8470559628,290,290,0,0,80,210,24,9.3
2024-04-03 11:00:00,Coolest Mascots,ESPNFAN0082047637,210,210,0,0,60,150,25,6.2
2024-04-03 11:00:00,ESPNFAN8452492966's Picks 1,ESPNFAN8452492966,0,0,0,0,0,0,26,0
